ID,Resume_str,Category
1,"Experienced Data Scientist with 5 years in machine learning and statistical modeling. Proficient in Python, R, PyTorch, TensorFlow, Pandas, NumPy, Matplotlib, Seaborn. Strong background in NLP, computer vision, and deep learning. Built recommendation systems using collaborative filtering and deployed ML models on AWS using Docker and Kubernetes. Experience with Apache Spark for large-scale data processing. Published 3 papers on transformer-based NLP models. Proficient in SQL and NoSQL databases including PostgreSQL and MongoDB. Led cross-functional teams in agile environment using Jira and Confluence.",Data Science
2,"Full Stack Software Engineer with 4 years of experience building scalable web applications. Expert in JavaScript, TypeScript, React, Node.js, Express.js. Built REST APIs and GraphQL endpoints serving millions of requests. Experience with PostgreSQL, MongoDB, Redis. Strong DevOps skills including Docker, Kubernetes, AWS, GitHub Actions. Test-driven development using Jest, Cypress, and Pytest. Agile methodology, code reviews, system design. Open source contributor with 200+ GitHub stars.",Software Engineering
3,"Machine Learning Engineer specializing in NLP and LLM fine-tuning. 3 years experience with PyTorch, Hugging Face Transformers, BERT, GPT models. Built RAG pipelines using FAISS, Pinecone, LangChain. Deployed models using FastAPI, Docker, Kubernetes on GCP. Experience with MLflow for experiment tracking, Weights & Biases for model monitoring. Strong Python skills, familiar with Apache Airflow for pipeline orchestration. Contributed to open source NLP libraries.",Data Science
4,"Backend Engineer with expertise in distributed systems and microservices. 6 years experience with Java, Python, Go. Designed and implemented high-throughput REST APIs handling 100K+ requests/second. Expert in Apache Kafka for event streaming, Redis for caching, PostgreSQL and Cassandra for storage. Container orchestration using Kubernetes, infrastructure as code with Terraform and Ansible. CI/CD using Jenkins and GitHub Actions. System design and performance optimization.",Software Engineering
5,"Android Developer with 4 years building consumer apps. Expert in Kotlin, Java for Android, Jetpack Compose, Android Studio. Implemented MVVM architecture with Clean Architecture principles. REST API integration using Retrofit and OkHttp. Local persistence with Room and SQLite. Push notifications with Firebase Cloud Messaging. Published 5 apps on Play Store with 500K+ downloads. Experience with CI/CD for Android using Fastlane and GitHub Actions.",Mobile Development
6,"Data Engineer with 5 years building data infrastructure at scale. Expert in Apache Spark, Apache Airflow, Apache Kafka, dbt, Snowflake, Databricks. Built ETL pipelines processing 1TB+ daily. Data modeling and data warehousing. SQL expert with PostgreSQL, BigQuery, Redshift. Python for pipeline development. Containerization with Docker and Kubernetes. Experience with data quality frameworks and data governance.",Data Engineering
7,"iOS Developer with 3 years experience building Swift and SwiftUI applications. Strong expertise in UIKit, SwiftUI, Core Data, Core Location, AVFoundation. Implemented complex animations and custom UI components. REST API integration with URLSession and Alamofire. Firebase for analytics, push notifications, and authentication. Published 3 apps on App Store. Test-driven development with XCTest. Experience with Xcode Instruments for performance profiling.",Mobile Development
8,"DevOps and Cloud Engineer with 5 years of experience. Expert in AWS (EC2, EKS, S3, RDS, Lambda, CloudFormation), GCP, and Azure. Container orchestration with Kubernetes and Docker. Infrastructure as code using Terraform, Ansible, Pulumi. CI/CD pipelines with GitHub Actions, Jenkins, ArgoCD. Monitoring with Prometheus, Grafana, ELK Stack. Linux system administration and Bash scripting. Security hardening and compliance. SRE practices.",DevOps
9,"Cybersecurity Engineer with 4 years experience in application security and penetration testing. Expert in OWASP Top 10, network security, cryptography. Tools: Burp Suite, Metasploit, Wireshark, Nmap. Experience with SIEM platforms, incident response, digital forensics. Cloud security on AWS and Azure. Security auditing and compliance (SOC2, ISO27001, GDPR). Python for security automation. Vulnerability assessment and threat modeling. Bug bounty hunter.",Cybersecurity
10,"AI Research Scientist with PhD in Computer Science. 5 years research experience in deep learning and NLP. Published 8 papers at NeurIPS, ICML, ACL. Expert in PyTorch, JAX, transformer architectures, attention mechanisms. Research areas: multi-modal learning, federated learning, RLHF. Experience with large-scale distributed training on GPU clusters. Strong mathematical background: linear algebra, probability, optimization. Python, LaTeX, experiment design and statistical analysis.",Data Science
11,"Frontend Engineer with 4 years building responsive web applications. Expert in React, Vue.js, TypeScript, HTML5, CSS3, Sass, Tailwind CSS. State management with Redux, Zustand, Pinia. Performance optimization: lazy loading, code splitting, caching. Web accessibility (WCAG 2.1). Cross-browser compatibility. Webpack, Vite, Babel build tools. REST API and GraphQL integration. Jest and Cypress for testing. Figma for design collaboration. Agile workflow with Jira.",Web Development
12,"Embedded Systems Engineer with 6 years experience in firmware development. Expert in C, C++ for embedded targets. Experience with ARM Cortex microcontrollers, RTOS (FreeRTOS, Zephyr), device drivers. Protocols: UART, SPI, I2C, CAN Bus, USB. Embedded Linux development with Yocto. FPGA programming with VHDL and Verilog. Hardware debugging with oscilloscope and logic analyser. PCB schematic review. IoT device development with MQTT and CoAP.",Embedded Systems
13,"Product Manager with 5 years experience in B2B SaaS. Expert in product roadmapping, user story mapping, sprint planning. Strong analytical skills: SQL, Amplitude, Mixpanel, Google Analytics. Experience running A/B tests and interpreting statistical results. Stakeholder management with C-suite executives and engineering teams. OKR framework. User research and usability testing. Figma for prototyping. Jira, Confluence, Notion. Agile and SAFe certified.",Business Analyst
14,"Blockchain Developer with 3 years experience in Web3. Expert in Solidity smart contract development and auditing. Ethereum, Polygon, Arbitrum. Web3.js and Ethers.js for frontend integration. Hardhat and Foundry for testing and deployment. DeFi protocol development: AMM, lending, staking. ERC-20, ERC-721, ERC-1155 standards. IPFS for decentralised storage. JavaScript, TypeScript, React for DApp frontends. Gas optimization techniques. Security auditing.",Blockchain
15,"Computer Vision Engineer with 4 years experience. Expert in PyTorch, OpenCV, deep learning for vision tasks. Object detection: YOLO, Faster R-CNN, DETR. Semantic segmentation: UNet, DeepLab. Image classification: ResNet, EfficientNet, ViT. Experience with CUDA for GPU acceleration. Model optimization: quantization, pruning, ONNX export. Deployed models on edge devices and cloud. Data augmentation, annotation pipeline management. Python, C++ for performance-critical components.",Data Science
16,"Cloud Solutions Architect with 7 years experience. AWS Certified Solutions Architect Professional, GCP Professional. Designed multi-cloud architectures for Fortune 500 companies. Expert in AWS (VPC, EKS, RDS, S3, Lambda, CloudFront, Route53), Azure, GCP. Terraform and CloudFormation for IaC. Kubernetes at scale. Microservices and event-driven architectures. Security and compliance architecture. Cost optimization and FinOps. Technical pre-sales and solution design.",DevOps
17,"NLP/LLM Engineer with 3 years experience building production AI systems. Expert in fine-tuning LLMs using PEFT, LoRA, QLoRA. RAG system design with vector databases (Pinecone, Weaviate, Chroma). Prompt engineering and chain-of-thought reasoning. LangChain, LlamaIndex, Semantic Kernel. Evaluation frameworks for LLMs. Deployed models using vLLM, TGI, FastAPI. Python, PyTorch, Hugging Face. Experience with GPT-4, Claude, Llama, Mistral APIs.",Data Science
18,"Site Reliability Engineer with 5 years experience. Expert in Linux, Python, Go, Kubernetes, Docker. Monitoring with Prometheus, Grafana, ELK Stack, Datadog. Incident management and on-call rotation. Chaos engineering with Chaos Monkey. Capacity planning and performance optimization. Service level objectives (SLOs) and error budgets. CI/CD with ArgoCD and GitHub Actions. Database reliability: PostgreSQL, Cassandra. Networking: BGP, DNS, load balancers.",DevOps
19,"Data Analyst with 3 years experience turning data into insights. Expert in SQL (PostgreSQL, BigQuery, Snowflake), Python, Pandas, Matplotlib. Dashboards in Tableau and Power BI. Statistical analysis and hypothesis testing. A/B test design and analysis. Google Analytics and Adobe Analytics. Excel advanced features including pivot tables and VBA. Presented findings to non-technical stakeholders. Experience in e-commerce and fintech domains.",Business Analyst
20,"Machine Learning Platform Engineer building ML infrastructure. 4 years experience with Kubernetes, Docker, Python, Apache Spark, MLflow. Built feature stores using Feast. Model serving with Seldon, KServe, Triton. Experiment tracking and model registry. Data pipelines with Airflow and Prefect. Distributed training coordination. GPU cluster management. CI/CD for ML models. Experience with Databricks, AWS SageMaker, Google Vertex AI.",Data Science
